14550	158201978	1810006
14550	158201979	3422
14550	158201980	40132
14550	158201981	85
14550	158201982	1707
14550	158201983	638
14550	158201984	11
14550	158201985	7
14550	158201986	43895
14550	158201987	12553
14550	158201988	1
14550	158201989	25971
14550	158201990	4102
14550	158201991	26
14550	158201992	947
14550	158201993	735
14550	158201994	26
14550	158201995	998
14550	158201996	169
14550	158201997	99
14550	158201998	287
14550	158201999	1102
14550	158202000	1
14550	158202001	40034
14550	158202002	1102
14550	158202003	1
14550	158202004	654
14550	158202005	3
14550	158202006	37951
14550	158202007	6
14550	158202008	3
14550	158202009	11138
14550	158202010	399
14550	158202011	5457
14550	158202012	26
14550	158202013	46897
14550	158202014	59
14550	158202015	31
14550	158202016	314914
14550	158202017	78
14550	158202018	7874
14550	158202019	44573
14550	158202020	79
14550	158202021	1
14550	158202022	10896
14550	158202023	104153
14550	158202024	5
14550	158202025	3519
14550	158202026	16042
14550	158202027	78
14550	158202028	3
14550	158202029	258884
14550	158202030	79
14550	158202031	1
14550	158202032	78039
14550	158202033	5
14550	158202034	55163
14550	158202035	1
14550	158202036	78
14550	158202037	3
14550	158202038	182
14550	158202039	42
14550	158202040	1143
14550	158202041	31
14550	158202042	110289
14550	158202043	79
14550	158202044	26
14550	158202045	5
14550	158202046	122
14550	158202047	85137
14550	158202048	2
14550	158202049	67
14550	158202050	7
14550	158202051	120
14550	158202052	36682
14550	158202053	75435
14550	158202054	1
14550	158202055	824
14550	158202056	1883
14550	158202057	263
14550	158202058	50
14550	158202059	3040
14550	158202060	397678
14550	158202061	3292
14550	158202062	2
14550	158202063	3718
14550	158202064	22
14550	158202065	98310
14550	158202066	78
14550	158202067	32
14550	158202068	3
14550	158202069	244
14550	158202070	87
14550	158202071	79
14550	158202072	56844
14550	158202073	89
14550	158202074	1443
14550	158202075	368
14550	158202076	26
14550	158202077	121
14550	158202078	22
14550	158202079	7
14550	158202080	724
14550	158202081	6
14550	158202082	515
14550	158202083	17770
14550	158202084	2
14550	158202085	19481
14550	158202086	3
14550	158202087	515
14550	158202088	17770
14550	158202089	8084
14550	158202090	2
14550	158202091	31
14550	158202092	114291
14550	158202093	11
14550	158202094	1944
14550	158202095	3519
14550	158202096	1919
14550	158202097	3
14550	158202098	258884
14550	158202099	2
14550	158202100	48463
14550	158202101	5084
14550	158202102	103
14550	158202103	61
14550	158202104	27
14550	158202105	629
14550	158202106	49
14550	158202107	31
14550	158202108	22570
14550	158202109	157997
14550	158202110	20
14550	158202111	203
14550	158202112	2
14550	158202113	9043
14550	158202114	17770
14550	158202115	1327
14550	158202116	62
14550	158202117	1067
14550	158202118	1133
14550	158202119	2
14550	158202120	36766
14550	158202121	16042
14550	158202122	891046
14550	158202123	200222
14550	158202124	2
14550	158202125	400319
14550	158202126	35793
14550	158202127	5
14550	158202128	2916
14550	158202129	6
14550	158202130	3
14550	158202131	253432
14550	158202132	2
14550	158202133	573297
14550	158202134	5
14550	158202135	214430
14550	158202136	1
14550	158202137	3
14550	158202138	4418
14550	158202139	14993
14550	158202140	482054
14550	158202141	406
14550	158202142	127
14550	158202143	408
14550	158202144	334
14550	158202145	2789
14550	158202146	7
14550	158202147	686
14550	158202148	1294
14550	158202149	1
14550	158202150	2789
14550	158202151	7
14550	158202152	14253
14550	158202153	1
14550	158202154	2789
14550	158202155	7
14550	158202156	3216
14550	158202157	1
14550	158202158	2789
14550	158202159	7
14550	158202160	29894
14550	158202161	1
14550	158202162	5
14550	158202163	13
14550	158202164	281
14550	158202165	3
14550	158202166	5716
14550	158202167	107799
14550	158202168	107799
14550	158202169	107799
